time,G(i),H_sun,T2m,WS10m,Int
20230114:1411,23.89,13.39,5.57,13.17,0
20230114:1511,113.1,9.33,5.49,11.79,0
20230114:1611,11.03,3.54,5.81,12.21,0
20230114:1711,0,0,5.65,12.07,0
20230114:1811,0,0,5.69,11.86,0
20230114:1911,0,0,5.8,11.24,0
20230114:2011,0,0,5.35,11.03,0
20230114:2111,0,0,5.07,11.52,0
20230114:2211,0,0,6.47,12.62,0
20230114:2311,0,0,6.66,13.72,0
20230115:0011,0,0,6.46,12.97,0
20230115:0111,0,0,6.41,12.14,0
20230115:0211,0,0,6.05,11.24,0
20230115:0311,0,0,5.84,8.21,0
20230115:0411,0,0,5.7,6.41,0
20230115:0511,0,0,6.18,6.41,0
20230115:0611,0,0,6.61,8.21,0
20230115:0711,0,0,6.69,9.72,0
20230115:0811,0,0,6.76,10.07,0
20230115:0911,2.76,2.25,6.6,9.66,0
20230115:1011,53.38,8.37,6.88,7.72,0
20230115:1111,455,12.84,7.07,6.83,0
20230115:1211,283.71,15.32,6.99,6,0
20230115:1311,220.71,15.57,7.14,5.38,0
20230115:1411,131.5,13.58,7.01,4.97,0
20230115:1511,15.62,9.52,6.54,4.34,0
20230115:1611,23.03,3.74,6.22,3.38,0
20230115:1711,0,0,5.47,2.83,0
20230115:1811,0,0,5.02,2.97,0
20230115:1911,0,0,4.78,3.31,0
20230115:2011,0,0,4.14,3.86,0
20230115:2111,0,0,4.06,4.28,0
20230115:2211,0,0,4.41,4.07,0
20230115:2311,0,0,4.38,4.55,0
20230116:0011,0,0,4.39,4.62,0
20230116:0111,0,0,4.4,4.34,0
20230116:0211,0,0,4.58,4.34,0
20230116:0311,0,0,4.24,4.55,0
20230116:0411,0,0,3.68,4.55,0
20230116:0511,0,0,3.27,4.07,0
20230116:0611,0,0,2.8,3.38,0
20230116:0711,0,0,2.3,3.24,0
20230116:0811,0,0,2.06,3.17,0
20230116:0911,39.84,2.37,1.61,2.97,0
20230116:1011,276.97,8.51,2.19,2.28,0
20230116:1111,505.15,13,2.85,2.28,0
20230116:1211,219.98,15.5,3.31,2.48,0
20230116:1311,410.82,15.77,3.36,3.24,0
20230116:1411,214.8,13.78,3.32,3.52,0
20230116:1511,174.89,9.73,3.16,3.52,0
20230116:1611,11.94,3.94,2.78,3.72,0
20230116:1711,0,0,2.58,3.66,0
20230116:1811,0,0,2.16,3.31,0
20230116:1911,0,0,1.94,2.62,0
20230116:2011,0,0,1.66,2.69,0
20230116:2111,0,0,1.35,3.03,0
20230116:2211,0,0,0.73,1.93,0
20230116:2311,0,0,0.73,2,0
20230117:0011,0,0,0.65,2.07,0
20230117:0111,0,0,0.44,2.62,0
20230117:0211,0,0,0.54,3.38,0
20230117:0311,0,0,0.47,3.72,0
20230117:0411,0,0,0.53,3.24,0
20230117:0511,0,0,0.38,2.76,0
20230117:0611,0,0,0.38,2.62,0
20230117:0711,0,0,0.47,2.9,0
20230117:0811,0,0,0.67,3.03,0
20230117:0911,96.06,2.5,0.92,3.31,0
20230117:1011,370.98,8.66,1.79,3.79,0
20230117:1111,483.24,13.17,3.07,4.28,0
20230117:1211,355.72,15.68,3.96,5.79,0
20230117:1311,21.13,15.96,3.55,6.83,0
20230117:1411,95.92,13.99,3,6.97,0
20230117:1511,32.16,9.94,2.78,6.62,0
20230117:1611,11.94,4.15,2.45,7.1,0
20230117:1711,0,0,2.75,7.45,0
20230117:1811,0,0,3.4,7.72,0
20230117:1911,0,0,3.49,7.17,0
20230117:2011,0,0,3.1,6.76,0
20230117:2111,0,0,2.87,6.97,0
20230117:2211,0,0,3.13,7.93,0
20230117:2311,0,0,3.26,7.93,0
20230118:0011,0,0,3.51,7.38,0
20230118:0111,0,0,4.04,7.38,0
20230118:0211,0,0,4.48,7.59,0
20230118:0311,0,0,4.35,7.17,0
20230118:0411,0,0,4.06,7.72,0
20230118:0511,0,0,4.08,10,0
20230118:0611,0,0,4.34,10.48,0
20230118:0711,0,0,4.28,10.21,0
20230118:0811,0,0,4.04,10.28,0
20230118:0911,29.96,2.64,4.51,10.34,0
20230118:1011,371.05,8.81,4.95,9.72,0
20230118:1111,146.33,13.35,5.06,9.31,0
20230118:1211,42.26,15.87,5.06,8.48,0
20230118:1311,677.6,16.17,5.31,7.93,0
20230118:1411,557.47,14.2,5.43,7.24,0
20230118:1511,30.32,10.15,5.34,6.69,0
20230118:1611,184.3,4.36,5.14,6.9,0
20230118:1711,0,0,4.61,6,0
20230118:1811,0,0,4.51,5.1,0
20230118:1911,0,0,4.69,4.34,0
20230118:2011,0,0,4.72,3.79,0
20230118:2111,0,0,4.63,3.31,0
20230118:2211,0,0,4.28,3.1,0
20230118:2311,0,0,4.2,3.1,0
20230119:0011,0,0,4.18,3.03,0
20230119:0111,0,0,4.01,2.76,0
20230119:0211,0,0,3.8,2.48,0
20230119:0311,0,0,3.72,2.28,0
20230119:0411,0,0,3.69,1.93,0
20230119:0511,0,0,3.41,1.17,0
20230119:0611,0,0,3.41,1.31,0
20230119:0711,0,0,3.89,1.59,0
20230119:0811,0,0,3.66,1.72,0
20230119:0911,97.47,2.79,2.9,2,0
20230119:1011,317.39,8.98,2.95,1.52,0
20230119:1111,548.27,13.53,3.8,1.24,0
20230119:1211,622.11,16.07,4.47,1.03,0
20230119:1311,664.62,16.38,5.01,1.24,0
20230119:1411,580.43,14.42,5.41,1.79,0
20230119:1511,451.14,10.37,5.73,2.21,0
20230119:1611,167.76,4.58,5.54,2.07,0
20230119:1711,0,0,4.39,2.34,0
20230119:1811,0,0,4.77,1.86,0
20230119:1911,0,0,5.05,0.76,0
20230119:2011,0,0,4.8,0.28,0
20230119:2111,0,0,4.48,1.66,0
20230119:2211,0,0,3.76,2.97,0
20230119:2311,0,0,4.25,3.24,0
20230120:0011,0,0,4.55,3.66,0
20230120:0111,0,0,4.64,4.41,0
20230120:0211,0,0,4.62,5.24,0
20230120:0311,0,0,4.49,5.72,0
20230120:0411,0,0,4.28,6.07,0
20230120:0511,0,0,3.99,6.41,0
20230120:0611,0,0,3.83,6.76,0
20230120:0711,0,0,3.68,6.76,0
20230120:0811,0,0,3.72,7.1,0
20230120:0911,7.35,2.94,3.96,7.03,0
20230120:1011,33.99,9.15,4.78,7.03,0
20230120:1111,113.38,13.71,5.14,6.9,0
20230120:1211,127.26,16.28,5.49,6.76,0
20230120:1311,95.8,16.6,5.89,6.62,0
20230120:1411,83.41,14.64,6.44,6.28,0
20230120:1511,110.45,10.6,6.92,6.07,0
20230120:1611,4.59,4.8,7.12,5.86,0
20230120:1711,0,0,7.31,5.38,0
20230120:1811,0,0,7.52,5.1,0
20230120:1911,0,0,7.57,5.03,0
20230120:2011,0,0,7.64,4.83,0
20230120:2111,0,0,7.78,4.62,0
20230120:2211,0,0,8.3,5.24,0
20230120:2311,0,0,8.38,5.31,0
20230121:0011,0,0,8.46,5.59,0
20230121:0111,0,0,8.48,5.79,0
20230121:0211,0,0,8.51,5.93,0
20230121:0311,0,0,8.55,6.14,0
20230121:0411,0,0,8.64,6.48,0
20230121:0511,0,0,8.76,6.34,0
20230121:0611,0,0,8.88,6.48,0
20230121:0711,0,0,8.88,6.76,0
20230121:0811,0,0,8.84,6.76,0
20230121:0911,1.84,3.09,8.88,6.69,0
